"code","name_it","name_en","parent_code","level","classification_system"
"68.2","Affitto e gestione di beni immobili propri o in locazione","Rental and operating of own or leased real estate","68","3","NACE"
"68.3","Attività immobiliari per conto terzi","Real estate activities on a fee or contract basis","68","3","NACE"
"69.1","Attività legali, giuridiche e notarili","Legal activities","69","3","NACE"
"69.2","Attività di contabilità, controllo e revisione contabile; consulenza fiscale","Accounting, bookkeeping and auditing activities; tax consultancy","69","3","NACE"
"70.1","Attività di sedi centrali","Activities of head offices","70","3","NACE"
"70.2","Consulenza imprenditoriale e altre attività di consulenza gestionale","Business and other management consultancy activities","70","3","NACE"
"71.1","Attività di architettura, di ingegneria e altre consulenze tecniche connesse","Architectural and engineering activities and related technical consultancy","71","3","NACE"
"71.2","Collaudi e analisi tecniche","Technical testing and analysis","71","3","NACE"
"72.1","Ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria","Research and experimental development on natural sciences and engineering","72","3","NACE"
"72.2","Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche","Research and experimental development on social sciences and humanities","72","3","NACE"
"73.1","Pubblicità","Advertising","73","3","NACE"
"73.2","Ricerche di mercato e sondaggi di opinione","Market research and public opinion polling","73","3","NACE"
"73.3","Pubbliche relazioni e comunicazione","Public relations and communication activities","73","3","NACE"
"74.1","Attività di progettazione specializzata","Specialised design activities","74","3","NACE"
"74.2","Attività fotografiche","Photographic activities","74","3","NACE"
"74.3","Attività di traduzione e interpretariato","Translation and interpretation activities","74","3","NACE"
"74.9","Altre attività professionali, scientifiche e tecniche n.c.a.","Other professional, scientific and technical activities n.e.c.","74","3","NACE"
"75.0","Servizi veterinari","Veterinary activities","75","3","NACE"
"77.1","Noleggio e leasing operativo di autoveicoli","Rental and leasing of motor vehicles","77","3","NACE"
"77.2","Noleggio e leasing operativo di beni per uso personale e per la casa","Rental and leasing of personal and household goods","77","3","NACE"
"77.3","Noleggio e leasing operativo di altre macchine, attrezzature e beni materiali","Rental and leasing of other machinery, equipment and tangible goods","77","3","NACE"
"77.4","Concessione dei diritti di sfruttamento di proprietà intellettuale, escluse le opere soggette a diritto d'autore","Leasing of intellectual property and similar products, except copyrighted works","77","3","NACE"
"77.5","Attività di servizi di intermediazione per il noleggio e il leasing operativo di beni materiali e beni immateriali non finanziari","Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets","77","3","NACE"
"78.1","Attività di agenzie di collocamento","Activities of employment placement agencies","78","3","NACE"
"78.2","Attività di agenzie di lavoro interinale e altre attività di fornitura di risorse umane","Temporary employment agency activities and other human resource provisions","78","3","NACE"
"79.1","Attività di agenzie di viaggio e tour operator","Travel agency and tour operator activities","79","3","NACE"
"79.9","Altri servizi di prenotazione e attività connesse","Other reservation service and related activities","79","3","NACE"
"80.0","Attività di investigazione e vigilanza","Investigation and security activities","80","3","NACE"
"81.1","Attività di servizi integrati agli edifici","Combined facilities support activities","81","3","NACE"
"81.2","Attività di pulizia","Cleaning activities","81","3","NACE"
"81.3","Attività di servizi per la cura del paesaggio","Landscape service activities","81","3","NACE"
"82.1","Attività amministrative e di supporto per le funzioni di ufficio","Office administrative and support activities","82","3","NACE"
"82.2","Attività dei call center","Activities of call centres","82","3","NACE"
"82.3","Organizzazione di convegni e fiere","Organisation of conventions and trade shows","82","3","NACE"
"82.4","Attività di servizi di intermediazione per servizi di supporto alle imprese n.c.a.","Intermediation service activities for business support service activities n.e.c.","82","3","NACE"
"82.9","Servizi di supporto alle imprese n.c.a.","Business support service activities n.e.c.","82","3","NACE"
"84.1","Amministrazione dello Stato e delle politiche economiche, sociali e ambientali della comunità","Administration of the State and the economic, social and environmental policies of the community","84","3","NACE"
"84.2","Erogazione di servizi collettivi","Provision of services to the community as a whole","84","3","NACE"
